RunsOn,Source,Destination,Port,Expected Result
10.1.0.5,10.1.0.5,10.1.0.7,3389,Success
10.1.0.6,10.1.0.6,10.1.0.7,3389,Success 
10.1.0.5,10.1.0.5,168.63.129.16,80,Success
